Food_Item,Category,Carbohydrates_g,Protein_g,Fat_g,Fiber_g,Calories
6 Pork Sausages,Meat,0.2,15.6,18.0,1.5,227.0
Blanc De Poulet Nature Sans Nitrite,Meat,0.5,21.0,1.6,0.0,100.0
Taboulé Poulet Rôti,Meat,19.0,6.5,8.0,2.5,59.7
Herta Blanc Poulet Broche Conservation Sans Nitrite X4 -140G,Meat,1.0,22.0,2.0,0.0,110.0
L'Authentique Vegan,Meat,11.0,19.0,17.0,3.8,281.0
"Aiguillettes De Poulet À La Moutarde Et Au Citron, Écrasée De Pommes De Terre Et Carottes",Meat,6.2,6.9,2.6,1.6,79.0
Pechuga De Pavo Reducido En Sal Finas Lonchas,Meat,1.3,16.5,0.5,0.0,76.0
Tofu À La Japonaise,Meat,2.4,19.0,13.0,0.0,205.0
Croq'Soja Curry Et Pavot,Meat,6.6,14.0,10.0,4.9,182.0
Jamón Cocido Extra Finas Lonchas,Meat,0.9,18.6,2.5,0.0,101.0
"Tendres Carrés De Blé - Oignons, Pomme De Terre, Emmental",Meat,20.0,14.0,9.3,3.3,226.0
"Tofu Cuisiné Tomate, Mozzarella Et Basilic",Meat,6.2,14.0,12.0,5.6,200.0
Coeur De Burger - Texas Bbq,Meat,12.0,17.0,11.0,4.6,224.0
Les Galettes Boulgour - Roquefort & Figues,Meat,30.0,8.0,7.6,4.9,230.0
Nuggets De Poulet Bio,Meat,21.0,11.0,8.1,2.1,209.0
Emincés De Poulet - 100% Cuisse,Meat,0.8,22.0,8.4,0.0,167.0
Le Pâté Hénaff,Meat,0.5,17.0,21.0,0.0,257.0
Tendre Poulet Goût Rôti 4 Tranches,Meat,0.5,20.0,2.9,0.0,107.7
Herta Allumettes De Bacon 2X100G - 200G,Meat,0.8,19.0,3.0,0.0,106.2
Seitan Veggie,Meat,10.0,18.0,1.7,2.2,132.0
Tofu Firme,Meat,0.9,11.1,6.9,0.4,110.0
Tofu Al Naturale,Meat,1.8,13.0,7.5,1.0,71.7
Blanc De Dinde Sans Nitrite,Meat,0.5,22.0,1.3,0.0,102.0
Pechuga De Pollo 92%,Meat,1.0,18.1,1.7,0.0,89.0
"Rana Bacon, Mozzarella & Speck",Meat,30.0,12.0,12.0,3.4,284.0
Smoked Organic Tofu,Meat,1.9,16.9,7.7,0.8,146.7
Tofu Rosso Olives Et Tomates,Meat,5.0,17.0,16.0,0.0,237.0
Nuggets De Poulet Panés,Meat,13.0,16.0,6.4,0.5,173.0
Jamón Cocido Extra 1954,Meat,0.5,19.4,3.5,0.0,112.0
Fusilli Au Poulet,Meat,15.0,7.0,3.5,1.0,122.0
Crousty Chicken Long Filet'S,Meat,12.0,18.0,7.0,0.7,184.0
"Steak Blé, Soja",Meat,12.0,17.0,12.0,3.4,252.2
Parmentier De Canard Confit,Meat,9.33,7.33,6.0,1.1,122.0
Gratin De Choux-Fleurs Au Jambon & À L'Emmental,Meat,3.93,7.5,5.71,1.0,106.4
Cordons Bleus,Meat,15.0,18.0,10.0,1.6,226.0
Escalope Cordon Bleu De Qualité Supérieure,Meat,11.0,18.0,14.0,1.5,244.0
Rillettes De Poulet Rôti En Cocotte,Meat,2.0,15.0,27.0,0.5,309.0
Véritables Knacks D'Alsace,Meat,0.9,13.0,24.0,0.0,271.0
Egg Protein Pot,Meat,65.0,25.0,13.0,4.6,134.0
Foie De Morue,Meat,1.8,4.9,61.0,0.5,576.0
Allumettes De Poulet,Meat,0.5,19.0,6.0,0.0,130.0
Veganer Schinken-Spicker Mortadella,Meat,2.9,2.2,9.0,8.0,146.2
Le Classique Soja Et Blé,Meat,4.0,21.0,8.7,6.4,191.0
Fuet Espetec,Meat,1.4,27.5,34.0,0.0,421.0
Petit Salé Aux Lentilles Vertes,Meat,6.7,11.0,8.4,4.0,156.0
"Vegetal Galettes Épinards, Blé, Emmental",Meat,4.6,20.0,8.0,4.2,180.0
"Pavés Fondants Patate Douce, Citron Confit Et Coco",Meat,17.0,9.4,11.0,4.0,213.0
Gebraden Ham / Jambon Rôti,Meat,2.0,20.0,3.0,0.2,115.0
Falafels,Meat,19.0,10.0,18.0,11.0,296.0
Bolognese,Meat,6.3,3.9,4.3,1.4,82.0
Le Pâté De Porc Hénaff,Meat,0.5,17.0,21.0,0.0,257.0
Herta Le Bon Paris Jambon À L'Étouffée X2 - 85G,Meat,0.0,21.0,2.3,0.0,104.7
Blanc De Poulet 100% Filet,Meat,0.8,20.0,2.4,0.5,106.0
Chicken Italia 10 Chipolatas,Meat,3.4,19.0,2.7,0.0,136.0
Rillettes Du Mans Sans Graisse Ajoutée,Meat,0.5,18.2,28.7,0.0,333.0
"Poulet À La Crème Et Aux Champignons, Farfalles",Meat,12.0,8.5,8.2,0.6,157.0
Blanc De Poulet Sup Tsr Csn Sa Sogm 4T 120G,Meat,1.2,21.0,1.9,0.5,107.1
Middle Eastern Falafels,Meat,20.0,7.6,9.9,11.0,221.0
Crousti’ Panés Veggie,Meat,24.0,10.0,7.4,5.5,214.0
Dés De Jambon -25% De Sel*,Meat,1.87,18.67,3.73,0.0,113.3
Mini Hamburguesa Espinacas Zanahoria,Meat,16.5,10.7,14.7,4.2,233.0
Vegane Pommersche - Schnittlauch,Meat,7.3,7.2,17.0,5.1,221.0
Crousti Tenders Aiguillettes,Meat,18.0,17.0,7.2,1.3,207.0
"Vegetal Falafels Lentille Corail, Coco, Curry",Meat,23.0,7.3,11.0,6.3,235.0
Soja Texturizada,Meat,13.0,50.0,8.8,15.0,361.0
Cordons Bleus De Poulet,Meat,17.0,12.0,12.0,2.0,228.0
Crousti' Panés Veggie,Meat,24.0,10.0,8.7,6.0,226.0
Naked Xl,Meat,3.0,16.5,7.8,1.9,145.3
Xtrembox - Radiatori  Bœuf Sauce Au Poivre,Meat,21.5,8.5,4.75,1.35,165.8
Filet De Poulet X 2,Meat,0.0,23.0,1.8,0.0,108.0
Garlic & Ginger Marinated Tofu,Meat,1.4,14.0,13.0,0.4,175.0
2 Galettes Brebis - Figues,Meat,36.0,5.3,5.1,1.6,214.0
Végétal Croq'Panés Blé,Meat,20.0,13.0,11.0,3.9,239.0
Brioche Tranchée Bio 400G,Butter,52.0,8.8,9.4,3.9,336.0
Margarine De Table,Butter,0.2,0.1,75.0,0.0,675.0
Be Nuts ! - Pâte À Tartiner Cacahuète,Butter,20.0,21.0,49.0,4.4,614.0
Familia 200G,Butter,0.2,0.2,60.0,5.0,532.0
Noir Intense 74% Cacao,Butter,32.0,9.9,42.0,12.5,570.0
Nestlé Dessert Noir,Butter,50.7,6.0,34.0,7.3,548.0
Le Beurre Tendre,Butter,0.8,0.7,82.0,0.0,375.0
Menguy'S Beurre De Cacahuètes Creamy,Butter,12.0,25.0,52.0,6.7,629.0
Cioccolato Fondente,Butter,31.9,8.4,40.0,11.7,544.0
Dark Absolute 99% Cacao,Butter,9.0,14.0,49.0,0.0,565.0
مارغرين المائدة,Butter,0.2,0.1,75.0,0.0,675.0
Pâte D'Arachide,Butter,24.8,24.3,48.2,6.5,582.0
Creamy Peanut Butter,Butter,16.6,26.9,43.4,7.7,605.0
Excellence Noir Délicat Doux 85% Cacao,Butter,19.0,8.9,55.0,0.0,603.0
Edelbitter Mild 90%,Butter,16.2,11.0,51.9,14.6,608.0
Lindt Excellence Dark Chocolate 100% Cocoa Pure Cocoa,Butter,11.0,13.0,54.0,0.0,614.0
Beurre De Cacahuetes 99% Cacahuetes,Butter,11.5,29.4,45.7,8.4,592.0
Galettes St Michel Au Beurre 4X5 - 130G,Butter,73.0,7.4,16.0,2.2,470.0
"Bonne Maman - Quatre Quarts, 500G (17.6Oz)",Butter,47.0,5.9,24.0,1.0,429.0
Fourrés Chocolat🍫,Butter,66.0,6.7,21.0,3.3,486.0
Spreadable,Butter,0.6,0.5,75.0,0.0,679.0
Noir Dégustation 74% Cacao,Butter,34.0,8.5,42.0,11.0,569.0
Pâte À Tarte Brisée - Pur Beurre,Butter,41.0,6.9,19.0,2.3,367.0
Noir Degustation 70% Caramel,Butter,40.3,7.1,35.2,9.23,544.0
Extra Dark 85% Cocoa,Butter,21.2,10.5,48.1,0.0,585.0
Smooth Peanut Butter,Butter,14.9,29.2,53.0,3.9,661.0
Beurre À Teneur Réduite En M.G. (60%) Doux,Butter,0.8,1.0,60.0,0.0,547.0
Masło Orzechowe,Butter,14.0,24.0,50.0,6.9,616.0
Tentation,Butter,30.3,7.0,45.5,0.0,541.0
Be Nuts! Crémeux,Butter,20.0,21.0,49.0,4.4,614.0
L'Original,Butter,0.0,0.0,53.0,0.0,477.0
Tablette De Chocolat Noir 100G,Butter,35.0,8.8,41.0,14.0,572.0
Sante Peanut Butter Crunchy,Butter,14.0,24.0,50.0,6.9,616.0
Smooth / Crémeux,Butter,20.0,20.0,53.33,6.67,600.0
Nestle Dessert Lait,Butter,52.9,6.9,34.1,3.7,554.0
Melk Lait,Butter,57.9,9.6,30.2,1.9,535.0
"Chocolat Noir, Éclats D'Amandes Grillées & Pointe De Sel",Butter,46.9,7.5,35.2,8.4,551.0
Chocolat Dessert Pâtissier,Butter,51.0,5.0,30.0,8.0,513.0
Irische Butter – Kerrygold,Butter,0.7,0.7,82.5,0.0,748.0
Ferrero Rocher,Butter,44.4,8.2,42.7,0.0,603.0
Kitkat,Butter,63.1,5.4,25.5,2.4,506.8
Lurpak Plant Based,Butter,1.6,0.2,75.0,0.0,683.0
Peanut Butter Protein Bars,Butter,39.3,17.4,21.9,9.6,443.0
Smooth,Butter,26.67,0.0,53.33,6.67,600.0
Crunchy Peanut Butter,Butter,16.0,26.0,47.0,8.1,606.0
Quatre-Quarts Pur Beurre,Butter,47.0,6.0,23.0,0.0,423.0
Pip And Nut Crunchy Peanut Butter,Butter,10.0,27.0,49.0,7.5,593.3
Butter Chicken Et Riz Pilaf,Butter,16.0,8.4,4.6,0.8,141.0
Beurre De Cacahuètes Smooth,Butter,11.9,25.2,54.9,8.0,653.0
Amandino Purée D'Amandes Grillées,Butter,3.2,26.5,56.3,8.9,643.0
Sweeties Mini,Butter,16.0,3.8,65.2,0.0,416.0
Chocolat Noir 85% Madagascar,Butter,24.0,11.0,51.0,11.0,619.0
فول زبده,Butter,18.96,27.54,50.48,3.82,648.0
"L'Incroyable Mousse, Chocolat Noir",Butter,29.0,6.8,27.0,3.3,384.0
Irische Butter,Butter,0.7,0.6,82.3,0.0,746.0
Manteiga Açoriana,Butter,0.5,0.5,82.0,0.0,742.0
Granola,Butter,60.4,15.8,13.7,6.4,441.0
Beurre De Cacahuètes,Butter,10.6,28.3,49.5,8.1,608.0
Organic Creamy Peanut Butter,Butter,10.94,12.5,23.44,4.69,562.5
Manteiga Tradicional Com Sal,Butter,0.7,0.6,82.0,0.0,743.0
Bio Peanut Butter Crunchy,Butter,8.6,25.9,54.5,7.8,644.0
Dessert Noir,Butter,52.0,7.0,30.0,7.8,522.0
8 Navettes Au Beurre Frais Et À La Crème Fraîche,Butter,50.0,8.7,12.0,0.0,347.0
Edeka Butter Meggle Butter - Meggle Feine Süßrahmbutter 250G 2.29€ 1Kg 9.16€,Butter,0.6,0.7,82.0,0.0,730.0
Pâte Feuilletée,Butter,40.0,5.9,20.0,1.3,378.0
Peanut Butter Creamy Natural,Butter,4.0,4.0,7.0,1.0,600.0
Beurre Moulé Biologique Doux,Butter,0.9,0.7,82.0,0.0,744.0
Amul Pasteurized Butter,Butter,0.0,0.0,78.57,0.0,714.3
Secret De Mousse Chocolat Noir,Butter,20.5,5.0,5.1,2.5,153.0
Spreadable Slightly Salted,Butter,0.6,0.5,78.0,0.0,680.0
Slightly Salted Spreadable Butter,Butter,1.6,0.6,75.9,0.1,692.0
Chocolat Pâtissier Noir Corse 70% Cacao,Butter,36.0,9.1,42.0,9.4,580.0
Chocolate 52% Especial Postres,Butter,52.0,6.0,32.0,7.6,535.0
Beurre Jibal 1Kg,Butter,0.5,0.9,82.9,0.0,743.0
Beurre De Cacahuète,Butter,12.0,30.0,47.0,8.2,623.3
Beurre Tendre Doux,Butter,1.0,0.7,82.0,0.0,745.0
Peanut Butter Oat Bars,Butter,50.0,10.0,24.0,5.0,460.0
Smooth Organic Peanut Butter,Butter,10.5,26.9,50.3,7.7,618.0
Chocolate And Hazelnut Cake,Butter,50.0,5.9,26.0,0.0,468.0
Beurre De Cacahuètes 100%,Butter,11.0,28.0,50.0,8.1,622.0
Cruesly Mélange De Noix,Oil,57.0,8.5,19.0,10.0,462.0
Sésame,Oil,64.0,10.0,18.0,4.6,467.0
Pomme Noisette,Oil,63.0,10.0,17.0,5.9,457.0
Figue & Son,Oil,55.0,9.6,18.0,14.0,450.0
Tartine Doux,Oil,0.0,0.0,55.0,0.0,495.0
Pâte À Tartiner Noisettes Et Cacao,Oil,53.0,6.7,34.0,3.3,551.0
Anacardo/Castanha-De-Caju Natural,Oil,5.9,6.2,14.3,1.6,180.0
Hule D'Olive,Oil,0.0,0.0,90.0,66.0,822.0
Goûter 4S Saveur Pommes,Oil,65.0,7.6,17.0,6.5,456.0
Goûter Aux Raisins,Oil,64.0,9.4,14.0,6.1,432.0
Pâte À Tartiner Noisette Du Lot Et Garonne Cacao,Oil,56.0,8.6,33.0,0.0,552.0
Be Nuts! Pâte À Tartiner Cacahuète,Oil,18.0,22.0,49.0,5.4,612.0
Nutella 600G,Oil,57.2,6.3,30.9,3.0,539.0
Tartine Sans Huile De Palme,Oil,0.5,0.5,35.0,0.0,314.0
Goûter Aux Écorces Confites,Oil,66.0,9.4,15.0,6.1,449.0
Pâte À Tartiner Cacahuètes Et Cacao,Oil,42.0,12.0,39.0,4.0,575.0
Cacao Céréales,Oil,62.0,9.8,17.0,7.5,455.0
Muesli Croustillant Tradition,Oil,68.0,9.1,13.0,5.9,440.0
Nutella,Oil,57.5,6.3,30.9,3.0,539.0
Maxi Tranches Sans Sucre Ajouté Nature,Oil,46.0,8.3,2.8,3.4,249.0
Houilor,Oil,0.0,0.0,100.0,0.0,900.0
La Pâte À Tartiner Cacao Noisette,Oil,35.0,4.8,14.0,4.8,263.0
Moelleux Chocolat Noix,Oil,49.0,7.3,23.0,9.6,434.0
Plain Sardines,Oil,0.0,22.0,7.8,0.0,158.0
Sablé Sésame Saveur Vanille,Oil,66.0,8.1,18.0,5.4,442.0
Paprika,Oil,54.0,6.7,30.0,4.4,522.0
Amande,Oil,61.0,10.0,19.0,8.0,471.0
Biscuits Abricot Pistache,Oil,64.0,9.3,18.0,6.0,467.0
Pâte À Tartiner,Oil,60.0,6.7,28.0,3.7,522.0
Krisprolls,Oil,70.0,12.0,6.2,7.7,397.0
Biscoff,Oil,73.08,5.13,19.23,1.28,483.9
Extra Virgin Olive Oil,Oil,0.0,0.0,91.0,0.0,821.0
Vinaigrette Légère Huile De Sésame & Sauce Soja Graines De Sésame Torréfiées 36 Cl,Oil,6.3,1.9,37.0,0.7,373.0
Organic Extra Virgin Olive Oil,Oil,0.0,0.0,86.67,0.0,800.0
Confiture De Fraises Allégée En Sucres,Oil,40.0,0.6,0.4,1.4,168.0
Knusper Müsli Schoko,Oil,59.8,10.9,16.2,9.1,447.0
Colin D'Alaska Msc Façon Fish & Chips,Oil,19.0,11.0,9.5,0.6,207.0
Sablés Pavot Coco,Oil,64.0,9.0,17.0,5.4,456.0
Biscuit Chocolat Noir,Oil,62.0,7.6,23.0,4.3,494.0
Hemani Coconut Oil Pure & Natural (400Ml),Oil,0.7,0.0,14.0,0.0,126.0
Compote De Pomme Allégée,Oil,14.0,0.3,0.2,1.9,63.0
Margarine,Oil,0.0,0.0,50.0,0.0,450.0
Chips Paysanne Nature,Oil,54.0,6.2,30.0,3.9,514.0
Fourré Cacao Sans Sucres,Oil,64.0,6.9,22.0,3.1,456.0
Céréales Extra Kellogg'S Pépites Chocolat Au Lait,Oil,62.0,7.0,22.0,4.9,484.0
Croustillant Graines De Courge Et De Tournesol,Oil,61.0,11.0,14.0,6.2,425.0
Olivenöl,Oil,0.0,0.0,91.6,0.0,824.0
Sésame Chocolat,Oil,60.0,10.0,20.0,5.6,481.9
Petites Madeleines,Oil,55.0,5.8,22.0,1.1,441.0
Organic Sesame Biscuits,Oil,61.0,9.6,21.0,4.7,481.0
Primevère Doux Sans Huile De Palme,Oil,0.1,0.1,63.0,0.0,567.0
Nachos,Oil,61.0,8.2,22.0,6.3,488.0
Crispy Fried Onions,Oil,40.0,6.0,44.0,5.0,590.0
بیسکویت 125G موختار,Oil,72.6,4.9,19.0,1.3,484.0
Sablés Sarrasin Miel Saveur Citron,Oil,67.0,7.9,18.0,5.0,472.0
Brossard Le Cake À L'Anglaise,Oil,61.0,4.1,9.3,3.2,351.0
Pâte À Tartiner 18.5% Bio - 350G,Oil,53.0,7.6,32.0,3.8,538.0
L'Extra Craquante Nature,Oil,47.0,5.9,34.0,4.5,526.0
Pâte À Tartiner 40% Noisettes Du Lot-Et-Garonne Et Cacao,Oil,49.0,9.3,35.0,0.0,555.0
Biscuit Muesli Avoine Gerblé,Oil,60.0,9.4,18.0,7.7,455.2
"Gerblé - Choco Hazelnut Filled Cake, 200G (7.1Oz)",Oil,60.0,7.4,22.0,4.7,477.0
Chips Paysanne,Oil,51.0,6.0,34.0,4.0,530.0
Le Biscuit De Natty,Oil,61.0,7.4,24.0,4.7,499.0
Lays,Oil,55.0,6.2,29.0,5.2,513.0
Madeleines Extra Moelleuses Nature X 24 Sachets Individuels Ker Cadélac,Oil,51.0,5.3,27.0,0.0,468.0
La Grande Galette 1905,Oil,70.0,6.7,21.0,2.4,501.0
Organic Vegetable Stock Cubes,Oil,0.7,0.0,0.4,0.01,7.0
Digestive Biscuits,Oil,68.0,6.2,16.0,6.5,422.2
"Gerble - Organic Chocolate Cookie Flavored W/ Banana, 132G (4.7Oz)",Oil,59.0,9.0,19.0,7.8,459.0
Huile D'Olive Vierge Extra,Oil,0.0,0.0,91.6,0.0,824.0
Tyrrell'S Sweet Chilli & Red Pepper,Oil,51.0,6.3,25.0,5.4,468.0
Fourré Figues,Oil,67.0,4.6,11.0,5.6,358.0
Le Cassoulet Mitonné,Oil,8.9,7.3,4.7,3.8,115.0
Thon A Lhuile,Oil,0.2,29.6,2.8,0.0,145.0
Sour Cream & Onion,Potato,56.0,6.3,29.0,3.5,517.0
Pringles Original,Potato,54.0,6.2,31.0,4.1,528.0
Pringles Sare,Potato,55.0,6.1,31.0,5.0,503.3
Pringles Sour Cream & Onion,Potato,54.0,6.3,30.0,4.0,517.9
Tomato Flavoured Snack,Potato,58.5,16.3,9.8,8.6,244.7
Pringles Sour Cream,Potato,54.0,6.3,30.0,4.0,519.0
Chips Saveur Barbecue,Potato,55.0,6.5,27.0,5.3,504.0
Pringles Texas Bbq Sauce,Potato,55.0,6.3,30.0,4.1,523.3
Pringles,Potato,56.0,6.5,29.0,3.9,519.0
Chips Craquante Sel Brets,Potato,50.0,6.1,34.0,4.9,540.0
4 Röstis De Légumes Et Cheddar,Potato,10.0,3.9,6.2,2.4,118.0
Purée De Pommes De Terre En Flocons,Potato,73.6,7.5,0.8,7.0,345.0
Potato Wafers,Potato,53.4,7.7,32.9,7.2,132.4
Pringles Paprika,Potato,54.0,6.7,30.0,4.4,522.0
Chips  Barbecue,Potato,54.0,6.2,31.0,4.4,503.3
Snack Poppé,Potato,56.0,18.0,11.0,8.3,413.0
Recette À L'Ancienne,Potato,54.0,6.2,35.0,3.9,550.0
Chipsfrisch Ungarisch,Potato,49.0,6.1,33.0,4.5,533.3
Laus Nature,Potato,53.0,6.1,30.0,4.3,508.0
Pringles Cașcaval,Potato,55.0,6.4,29.0,4.1,520.0
Onduladas Campesinas,Potato,53.5,6.0,34.5,0.0,549.0
Chips,Potato,56.7,7.7,25.4,4.1,494.0
Chips Saveur Poulet Rôti,Potato,55.0,6.3,27.0,5.1,503.0
Oven Baked Sweet Potato Fries,Potato,21.0,2.1,6.2,4.1,192.5
Crousti'Express La Classique,Potato,28.0,4.0,13.0,6.0,257.0
Gnocchi A Poeler Extra Fromage Lustucru 300G,Potato,29.3,8.27,8.1,1.67,225.0
Röstis De Pomme De Terre,Potato,18.0,3.8,7.2,2.3,155.0
Potato Wedges Seasoned,Potato,20.8,2.1,3.9,2.2,131.0
Conikos Barbecue,Potato,61.3,4.8,26.0,0.0,502.0
"Saumon Et Colin D'Alaska À L'Oseille, Pommes De Terre",Potato,8.0,4.8,4.2,1.3,92.0
Country Potatoes Aux Herbes,Potato,21.0,2.5,5.0,3.0,145.0
Puré De Patatas En Copos Instantáneo Preparado,Potato,74.0,8.3,0.6,7.4,349.0
Chips Paysannes Nature,Potato,52.0,6.1,32.0,4.8,530.0
Sour Cream & Onion Chips,Potato,54.0,6.1,29.0,4.9,511.0
Original Stapelchips,Potato,60.9,4.1,25.9,4.0,502.0
Classic,Potato,62.0,4.4,26.0,4.2,506.0
Dipster,Potato,62.0,4.3,25.0,3.5,496.0
Chips Saveur Côte De Boeuf Grillée,Potato,52.0,6.3,31.0,4.8,522.0
Mystery Flavour Super Mario,Potato,56.0,6.4,30.0,3.8,527.0
Just Au Four Express,Potato,31.0,2.4,5.6,2.4,136.7
Ready Salted Crisps,Potato,53.7,6.8,27.4,3.4,495.0
Walkers Cheese & Onion Crisps,Potato,52.0,6.8,29.6,4.0,512.0
Propper Barbecue Lentil Chips,Potato,61.0,9.7,20.0,2.6,469.0
Hot Kickin' Sour Cream Flavour,Potato,54.0,6.4,30.0,4.1,520.0
Tuile Goût Crème Oignons,Potato,62.0,4.4,27.0,2.6,516.0
Lay'S Potato Chips,Potato,53.4,6.9,33.1,0.0,539.0
Thai Sweet Chilli Flavour Potato Crisps,Potato,54.0,6.6,26.0,5.9,490.0
Lay’S Saveur Emmental,Potato,55.0,6.4,28.0,5.0,506.7
Saveur Sour Cream & Onion,Potato,61.7,3.9,24.5,3.4,493.0
Chips Natures,Potato,53.0,6.3,34.0,4.2,551.0
Gnocchi A Poêler Lustucru - 1Kg,Potato,35.0,5.0,2.7,2.6,190.0
Mini Röstis De Pomme De Terre Bio,Potato,16.0,2.2,7.5,2.0,144.0
Garden Salsa Flavored Sun Chips,Potato,64.29,7.14,21.43,7.14,500.0
Purée De Patate Douce À La Crème,Potato,13.0,0.8,2.0,2.0,76.0
Leader Chips Sel,Potato,52.4,6.6,37.7,0.0,575.2
Sweet Potato Fries,Potato,21.0,2.0,6.3,4.0,157.0
Chips Saveur Paprika,Potato,55.0,6.2,27.0,5.3,503.0
Tuiles Goût Nature,Potato,63.0,3.9,26.0,2.6,501.0
Lays Classics Salted 20Rs,Potato,51.7,7.0,35.5,0.0,554.0
Chips Rôtisserie Au Sel De Guérande,Potato,53.0,7.2,28.0,4.8,502.0
The Original 10 Potato Waffles,Potato,22.0,2.2,7.6,1.4,168.0
Chips Saveur Sel & Vinaigre,Potato,54.0,5.8,29.0,4.5,513.0
Hot Mexican Chilli & Lime Flavour,Potato,55.0,6.2,30.0,3.9,523.0
Potato Gnocchi,Potato,32.0,4.2,0.5,1.1,152.0
Tuiles Goût Crème Et Oignon Boîte De 170G,Potato,63.0,4.4,25.0,3.4,501.0
Tuiles Goût Paprika 170G,Potato,62.0,4.4,25.0,3.6,500.0
Multipack Extra Craquante Vico,Potato,45.0,5.9,34.0,4.5,526.0
Frites À La Patate Douce,Potato,22.0,1.6,7.2,3.7,165.0
Piemontaise Poulet 320G,Potato,8.0,3.5,8.0,2.0,122.0
Pringles Cheese & Onion,Potato,55.0,6.3,30.0,4.1,523.0
Tuiles Salées - 170G,Potato,61.3,4.3,25.8,3.7,502.0
Chips Saveur Petits Oignons,Potato,52.0,6.3,31.0,4.8,522.0
Saveur Yakitori,Potato,52.0,6.3,31.0,4.8,522.0
Pringles Salt & Vinegar,Potato,54.0,6.0,30.0,3.9,518.0
Chips À L'Ancienne,Potato,45.0,6.1,37.0,6.5,550.0
Gnocchi Aux Pommes De Terre,Potato,36.0,4.1,0.0,2.4,165.0
Walkers Ready Salted Crisps 6Pk,Potato,53.33,6.0,31.11,5.11,520.0
West Indies' Hot 'N' Sweet Chilli Potato Chips,Potato,55.4,6.3,31.9,0.0,534.0
Sea Salted Potato Crisps,Potato,52.6,5.9,30.4,0.0,500.0
"Sweet Potato Pakora With Red Pepper, Cumin And Chilli",Potato,19.9,6.1,10.9,8.1,219.0
Petites Escalopes De Volaille À La Moutarde Pommes De Terre,Potato,7.6,8.9,3.0,1.1,95.0
Tuiles Goût Paprika,Potato,59.0,4.0,30.0,2.3,526.6
Amandes Décortiquées,Nut,4.8,24.5,53.3,12.1,620.0
Protein Cacahuetes🥜 & Chocolat🍫,Nut,27.5,25.6,28.3,11.0,194.8
Muesli Croustillant Noix De Pécan & Noix Du Brésil,Nut,62.0,11.0,11.0,13.0,420.0
"Sweet & Salty Nut Chocolat Noir Et Mélange De Noix, 5 Barres De 30 G",Nut,15.0,2.9,6.9,3.0,646.7
Mixed Fruit And Nut,Nut,40.5,10.8,31.7,6.9,504.0
Be Nuts ! 100 % Cacahuète,Nut,15.0,27.0,48.0,9.6,628.0
Tresor - Choco Nut,Nut,69.0,7.1,16.0,3.6,458.1
Pecan Nuts,Nut,4.2,11.5,71.4,10.0,725.0
M&M'S Peanut,Nut,59.45,9.77,25.48,0.0,524.4
Beurre De Cacahuètes Bio,Nut,14.8,26.1,49.1,8.6,599.0
Pistaches De Californie Grillées Et Salées,Nut,7.8,23.6,51.6,12.1,614.0
Brazil Nuts,Nut,2.7,16.9,66.5,9.9,697.0
Barre Amande,Nut,67.0,7.9,13.0,4.1,420.0
Cashew Nuts Xxl,Nut,19.8,20.5,47.6,5.2,600.0
Muesli 4 Nuts,Nut,61.1,10.3,16.9,8.1,454.0
Anacardo Natural,Nut,22.6,21.9,48.2,3.6,613.3
Simply Nutty Muesli,Nut,64.4,9.9,6.8,8.6,376.0
Mixed Nuts,Nut,6.6,20.1,58.3,8.3,648.0
Muesli Bio Noix & Graines,Nut,50.9,13.6,16.8,8.7,427.0
4 Graines Grillées Sans Sel Ajouté,Nut,4.6,22.2,55.9,12.8,625.0
M&M\'S,Nut,59.0,9.8,26.0,0.0,524.0
Studentenfutter Luxury Nut And Raisin Mix,Nut,36.0,13.0,33.0,0.0,507.0
Whole Nut Milk Chocolate With Roasted Hazelnuts,Nut,45.1,9.0,39.7,4.2,580.8
Alesto Pörkölt Egészmogyoró,Nut,3.5,14.3,70.5,8.2,722.0
Peanuts & Dark Chocolate Protein Fruit & Nut Bars,Nut,33.4,19.5,36.3,5.9,550.0
Cocoa Orange,Nut,51.43,8.57,15.43,8.57,394.3
Nuts'N Berries,Nut,44.0,11.0,27.0,0.0,479.0
Beurre De Cacahuètes Extra Crunchy,Nut,14.8,26.1,49.1,8.6,599.0
Lizis High Protein Granola Nuts And Seeds,Nut,40.7,26.9,17.6,6.8,442.0
M&M'S - Peanut,Nut,59.0,9.8,26.0,0.0,524.0
Swiss Style Muesli,Nut,64.44,11.11,5.56,8.0,368.9
Mandel Vanille Geschmack,Nut,3.8,0.4,1.1,1.3,30.0
Sweet & Salty Nut - Chocolat Noir Et Mélange De Noix,Nut,50.0,9.5,22.9,10.1,404.8
Crema Da Pistacchio,Nut,47.0,6.9,43.0,1.3,603.0
Bebida De Arroz Y Avellana,Nut,6.9,0.6,2.1,0.4,50.0
Mentos Fruits,Nut,92.0,0.0,1.9,0.0,393.9
Pistacho Tostado Sal,Nut,10.6,22.8,51.5,9.4,616.0
Kalifornische Pistazien Geröstet,Nut,7.8,23.0,52.9,12.0,623.3
Blueberry Muffin Raw Fruit & Nut Bar,Nut,57.14,6.57,11.14,9.43,374.3
Cacahuètes Grillées À Sec,Nut,13.0,26.0,47.0,10.4,600.0
Unsalted Mixed Nuts,Nut,25.0,17.86,53.57,7.14,600.0
Nut & Fruit Mix Classic,Nut,33.8,13.4,36.9,6.5,534.0
